Country,Gold,Silver,Bronze
Norway;16;8;13
Germany;12;10;5
China;9;4;2
United States;8;10;7
Sweden;8;5;5
Netherlands;8;5;4
Austria;7;7;4
Switzerland;7;2;5
ROC;6;12;14
France;5;7;2
Canada;4;8;14
Japan;3;6;9
Italy;2;7;8
South Korea;2;5;2
Slovenia;2;3;2
Finland;2;2;4
New Zealand;2;1;0
Australia;1;2;1
Great Britain;1;1;0
Hungary;1;0;2
Belgium;1;0;1
Czech Republic;1;0;1
Slovakia;1;0;1
Belarus;0;2;0
Spain;0;1;0
Ukraine;0;1;0
Estonia;0;0;1
Latvia;0;0;1
Poland;0;0;1
